Text	Start Time (s)	duration	label
include the playoffs one now they're up	0.0	5.52	1
to 18 games absolutely crazy stuff so	1.56	5.719	1
they definitely a lot of homework for	5.52	3.999	1
loud to read but are ready for the game	7.28	4.081	1
for sure and send cities here behind	9.52	3.921	1
them the loud fans already get into that	11.36	4.919	1
Volume 11 as well as we start off here	13.44	5.52	1
on Sunset for the grand finals a lot of	16.28	5.0	1
tiles work from sen just to make sure	18.96	5.399	1
that mid area is controlled from loud it	21.28	4.84	1
feels like loud's being real passive	24.36	3.361	1
here they're ready to go for a first	26.12	3.961	1
round retake with whatever sensal hits	27.72	4.16	0
only on that midt there was a lot of	30.08	2.8	0
pressure on both sides from the	31.88	2.48	0
initiator getting information on the	32.88	3.48	1
extremities and now as you mentioned	34.36	3.84	1
playing the retake stop for out there's	36.36	3.84	1
still a first Contact from tuis throwing	38.2	4.8	1
up paranoia keeping clis at B from s	40.2	4.359	1
finally a first Contact but the heavy	43.0	4.079	1
damage goes on to John cuy sels get	44.56	3.921	1
still want to move forward in this	47.08	5.0	1
pistol and Loud decide to pull	48.48	3.599	1
back smoke happening on left side lane	52.36	4.2	1
clearing out towards the left side	55.2	4.0	1
actually probably get 2 CK right now as	56.56	4.48	0
a one way smoke comes up Sentinels tries	59.2	3.721	0
to execute in it actually does hit Q G	61.04	3.241	1
for at the back of the sight there's the	62.92	3.64	1
first Blood dropped by the sels a second	64.28	5.6	1
as well by Z and cloud is falling down	66.56	5.36	1
on this pistol with the spike down on	69.88	5.2	1
the east side for S fantastic job at not	71.92	5.48	1
allowing loud to get into a positioning	75.08	4.719	1
as we kind of saw on Ascent they can't	77.4	4.52	0
get this utility these flashes in order	79.8	4.921	1
that sad Dart in place and Sentinels	81.92	4.76	1
bite back before the retake even really	84.72	4.28	1
happens there Les now a few final kills	86.68	4.119	1
on the exit to hopefully collect some	89.0	4.079	0
money for the squad in a a different buy	90.8	4.041	0
next round but we'll see a lot of teams	93.08	4.161	0
have been full classic saving out on	94.84	4.84	0
that second round favoring a bit of	97.24	4.64	0
utility we'll see if loud decides to do	99.68	4.6	0
that Sentinels pick up the first round	101.88	4.199	0
and they start off with a little bit of	104.28	3.68	0
a cross the map they were looking mid	106.08	3.64	0
first then they were moving over to the	107.96	4.4	1
side of a but they took it slow again	109.72	4.601	1
something different we're seeing with	112.36	3.92	1
John cuy and Sentinels that they'll work	114.32	4.04	1
the map a bit before actually making	116.28	4.36	1
that commitment	118.36	4.399	0
with loud seems they were heavily	120.64	3.64	0
pressured that retake style they wanted	122.76	3.72	0
to get SEL wanted to continue to fight	124.28	3.92	1
forward after that Spike plan now	126.48	4.0	1
putting themselves for alloud on defense	128.2	4.16	1
on a stack towards the BS side setting	130.48	5.081	1
up for potentially a trap play but maybe	132.36	4.68	1
getting information first you already	135.56	3.2	1
see out in the open sadak is just	137.04	6.12	1
waiting for a contact for a push anybody	138.76	6.88	1
towards the B main sign you even see	143.16	4.28	1
kenzine trying to play a little tricky	145.64	4.56	1
hide spot in the market major he is just	147.44	4.28	1
waiting for that wall to go up and catch	150.2	3.92	1
somebody off guard again the slow play	151.72	3.92	1
from Sentinels they're they're pretty	154.12	4.199	0
much repeating first round strap right	155.64	4.8	0
we see that Zin and John cuy are working	158.32	4.761	0
tiles this time they proceed into mid	160.44	3.96	0
but that door is going to be shut on	163.08	3.64	0
them right quick looks like they could	164.4	3.4	1
go all the way through here this is	166.72	2.599	1
going to be trouble for loud to regain	167.8	3.519	1
any positioning loud's been good at it	169.32	4.0	1
so far continuing the good reads always	171.32	3.321	1
being active around the map on their	173.32	3.361	1
defensive side back towards the spawn	174.64	4.08	1
they here Sentinel stopping towards the	176.68	3.88	1
aite again they there is some sort of	178.72	3.519	1
Hope Here If tuis There He Go gets that	180.56	4.2	1
contact onto 10 slowing the pace of the	182.24	4.761	1
attack instantly traded out by John cuy	184.76	3.96	1
though as the plant goes down for beat	187.0	3.519	1
for a	188.72	4.4	0
main triple push forward but the cross	190.52	4.64	1
is just too good for Sentinels they do a	193.12	4.32	1
little bit of damage here for L and you	195.16	3.64	0
know what I'm not going to Discount this	197.44	4.56	0
player qck finally pushed forward by Z	198.8	5.601	0
and SEL get the second round all right	202.0	5.319	0
two patient rounds from Sentinels they	204.4	4.759	0
pretty much walk themselves into a	207.32	3.64	0
situation where they're fighting loud	209.16	4.08	1
the first one ended up at a on pistol	210.96	3.84	1
that second one they were able to find	213.24	3.441	1
their fight as they push Behind Enemy	214.8	4.0	1
