Text	Start Time (s)	duration
include the playoffs one now they're up	0.00	5.52
to 18 games absolutely crazy stuff so	1.56	5.719
they definitely a lot of homework for	5.52	3.999
loud to read but are ready for the game	7.28	4.081
for sure and send cities here behind	9.52	3.921
them the loud fans already get into that	11.36	4.919
Volume 11 as well as we start off here	13.44	5.52
on Sunset for the grand finals a lot of	16.28	5.0
tiles work from sen just to make sure	18.96	5.399
that mid area is controlled from loud it	21.28	4.84
feels like loud's being real passive	24.36	3.361
here they're ready to go for a first	26.12	3.961
round retake with whatever sensal hits	27.72	4.16
only on that midt there was a lot of	30.08	2.8
pressure on both sides from the	31.88	2.48
initiator getting information on the	32.88	3.48
extremities and now as you mentioned	34.36	3.84
playing the retake stop for out there's	36.36	3.84
still a first Contact from tuis throwing	38.20	4.8
up paranoia keeping clis at B from s	40.20	4.359
finally a first Contact but the heavy	43.00	4.079
damage goes on to John cuy sels get	44.56	3.921
still want to move forward in this	47.08	5.0
pistol and Loud decide to pull	48.48	3.599
back smoke happening on left side lane	52.36	4.2
clearing out towards the left side	55.20	4.0
actually probably get 2 CK right now as	56.56	4.48
a one way smoke comes up Sentinels tries	59.20	3.721
to execute in it actually does hit Q G	61.04	3.241
for at the back of the sight there's the	62.92	3.64
first Blood dropped by the sels a second	64.28	5.6
as well by Z and cloud is falling down	66.56	5.36
on this pistol with the spike down on	69.88	5.2
the east side for S fantastic job at not	71.92	5.48
allowing loud to get into a positioning	75.08	4.719
as we kind of saw on Ascent they can't	77.40	4.52
get this utility these flashes in order	79.80	4.921
that sad Dart in place and Sentinels	81.92	4.76
bite back before the retake even really	84.72	4.28
happens there Les now a few final kills	86.68	4.119
on the exit to hopefully collect some	89.00	4.079
money for the squad in a a different buy	90.80	4.041
next round but we'll see a lot of teams	93.08	4.161
have been full classic saving out on	94.84	4.84
that second round favoring a bit of	97.24	4.64
utility we'll see if loud decides to do	99.68	4.6
that Sentinels pick up the first round	101.88	4.199
and they start off with a little bit of	104.28	3.68
a cross the map they were looking mid	106.08	3.64
first then they were moving over to the	107.96	4.4
side of a but they took it slow again	109.72	4.601
something different we're seeing with	112.36	3.92
John cuy and Sentinels that they'll work	114.32	4.04
the map a bit before actually making	116.28	4.36
that commitment	118.36	4.399
with loud seems they were heavily	120.64	3.64
pressured that retake style they wanted	122.76	3.72
to get SEL wanted to continue to fight	124.28	3.92
forward after that Spike plan now	126.48	4.0
putting themselves for alloud on defense	128.20	4.16
on a stack towards the BS side setting	130.48	5.081
up for potentially a trap play but maybe	132.36	4.68
getting information first you already	135.56	3.2
see out in the open sadak is just	137.04	6.12
waiting for a contact for a push anybody	138.76	6.88
towards the B main sign you even see	143.16	4.28
kenzine trying to play a little tricky	145.64	4.56
hide spot in the market major he is just	147.44	4.28
waiting for that wall to go up and catch	150.20	3.92
somebody off guard again the slow play	151.72	3.92
from Sentinels they're they're pretty	154.12	4.199
much repeating first round strap right	155.64	4.8
we see that Zin and John cuy are working	158.32	4.761
tiles this time they proceed into mid	160.44	3.96
but that door is going to be shut on	163.08	3.64
them right quick looks like they could	164.40	3.4
go all the way through here this is	166.72	2.599
going to be trouble for loud to regain	167.80	3.519
any positioning loud's been good at it	169.32	4.0
so far continuing the good reads always	171.32	3.321
being active around the map on their	173.32	3.361
defensive side back towards the spawn	174.64	4.08
they here Sentinel stopping towards the	176.68	3.88
aite again they there is some sort of	178.72	3.519
Hope Here If tuis There He Go gets that	180.56	4.2
contact onto 10 slowing the pace of the	182.24	4.761
attack instantly traded out by John cuy	184.76	3.96
though as the plant goes down for beat	187.00	3.519
